team,season,xg_mean,xg_std,xg_against_mean,xg_against_std,xg_diff_mean,goals_mean,goals_against_mean,goals_diff_mean,win_rate,draw_rate,loss_rate,total_matches,home_win_rate,away_win_rate,recent_xg_mean,recent_xg_against_mean,recent_goals_mean,recent_win_rate,recent_draw_rate,recent_loss_rate,recent_points
Villarreal,2020,1.5225123026315786,0.9289846164523257,1.149225665789474,0.8452818594392922,0.37328663684210506,1.5789473684210527,1.1578947368421053,0.42105263157894735,0.39473684210526316,0.34210526315789475,0.2631578947368421,38,0.42105263157894735,0.3684210526315789,1.103046,1.4361814000000002,2.0,0.6,0.0,0.4,9
Athletic Club,2020,1.1332654210526316,0.6813875887419344,1.0121954605263157,0.6727933292216015,0.1210699605263158,1.2105263157894737,1.105263157894737,0.10526315789473684,0.2894736842105263,0.34210526315789475,0.3684210526315789,38,0.42105263157894735,0.15789473684210525,0.698308,1.292683,0.6,0.2,0.2,0.6,4
Real Sociedad,2020,1.661716,1.1294918851628144,1.0209248421052632,0.9413903309953723,0.6407911578947367,1.5526315789473684,1.0,0.5526315789473685,0.4473684210526316,0.2894736842105263,0.2631578947368421,38,0.47368421052631576,0.42105263157894735,1.5973012,0.75526024,1.6,0.6,0.0,0.4,9
Real Betis,2020,1.309722447368421,0.8294935515116698,1.2503365263157897,0.9734662818526864,0.05938592105263161,1.3157894736842106,1.3157894736842106,0.0,0.4473684210526316,0.2631578947368421,0.2894736842105263,38,0.5263157894736842,0.3684210526315789,1.5151210000000002,1.0844962000000002,1.6,0.6,0.4,0.0,11
Getafe,2020,0.9374365157894737,0.7295646744723508,1.063231105263158,0.7436985104644688,-0.1257945894736842,0.7368421052631579,1.131578947368421,-0.39473684210526316,0.23684210526315788,0.2894736842105263,0.47368421052631576,38,0.3157894736842105,0.15789473684210525,0.7250462000000001,0.4696942,0.4,0.2,0.2,0.6,4
Celta Vigo,2020,1.3505989736842106,0.9273393600308675,1.3240026052631577,0.7795459675904749,0.026596368421052678,1.4473684210526316,1.5,-0.05263157894736842,0.3684210526315789,0.2894736842105263,0.34210526315789475,38,0.47368421052631576,0.2631578947368421,1.2807432000000003,1.7608962000000001,2.2,0.8,0.0,0.2,12
Osasuna,2020,1.0423098210526316,0.7156726221073625,1.3113088684210528,0.8776633238603688,-0.268999047368421,0.9736842105263158,1.263157894736842,-0.2894736842105263,0.2894736842105263,0.2894736842105263,0.42105263157894735,38,0.3684210526315789,0.21052631578947367,0.97307524,1.924344,1.2,0.2,0.2,0.6,4
Barcelona,2021,1.8563621315789471,1.048546025026423,0.923146605263158,0.5862171422327128,0.9332155263157896,1.7894736842105263,1.0,0.7894736842105263,0.5526315789473685,0.2631578947368421,0.18421052631578946,38,0.631578947368421,0.47368421052631576,0.9789916000000002,0.7285594000000001,1.4,0.6,0.2,0.2,10
Real Madrid,2021,2.111000210526316,1.0610693796283415,1.204784184210526,0.7942552058298239,0.9062160263157895,2.1052631578947367,0.8157894736842105,1.2894736842105263,0.6842105263157895,0.21052631578947367,0.10526315789473684,38,0.6842105263157895,0.6842105263157895,2.417792,1.778623,2.2,0.4,0.4,0.2,8
Atletico Madrid,2021,1.5643840263157895,0.7920679332916067,0.9412613684210527,0.6241449381531816,0.6231226578947369,1.7105263157894737,1.131578947368421,0.5789473684210527,0.5526315789473685,0.21052631578947367,0.23684210526315788,38,0.631578947368421,0.47368421052631576,1.4097788000000002,1.1127813999999998,1.2,0.6,0.2,0.2,10
