window_start,window_end,window_center,num_nodes,num_edges,density,avg_degree,avg_betweenness,avg_closeness,avg_pagerank,avg_clustering
44.0,49.0,46.5,13,48,0.3076923076923077,7.384615384615385,0.0973193473193473,0.39819962422902105,0.07692307692307693,0.18253408447255184
46.0,51.0,48.5,14,44,0.24175824175824176,6.285714285714286,0.10682234432234432,0.3712446721193823,0.07142857142857142,0.19174555639058316
48.0,53.0,50.5,10,35,0.3888888888888889,7.0,0.11793981481481482,0.491611978007186,0.09999999999999999,0.28382654985108624
50.0,55.0,52.5,10,32,0.35555555555555557,6.4,0.12962962962962962,0.37354807562987463,0.10000000000000002,0.2693167753829338
52.0,57.0,54.5,11,35,0.3181818181818182,6.363636363636363,0.0781986531986532,0.37716719634755835,0.09090909090909091,0.2519503769360154
54.0,59.0,56.5,11,33,0.3,6.0,0.11329966329966329,0.38621609650317784,0.09090909090909091,0.17498822986723805
56.0,61.0,58.5,10,31,0.34444444444444444,6.2,0.1284722222222222,0.4464833759590793,0.09999999999999999,0.24488597622522973
58.0,63.0,60.5,10,26,0.28888888888888886,5.2,0.1474537037037037,0.3978869719077883,0.1,0.35363511018268823
60.0,65.0,62.5,10,32,0.35555555555555557,6.4,0.1336574074074074,0.47874163879598663,0.10000000000000002,0.22681565751667163
62.0,67.0,64.5,9,27,0.375,6.0,0.1359126984126984,0.4688990533985373,0.11111111111111108,0.26176784653917523
64.0,69.0,66.5,10,29,0.32222222222222224,5.8,0.10092592592592593,0.42830241991821616,0.1,0.34817147603733145
66.0,71.0,68.5,9,22,0.3055555555555556,4.888888888888889,0.11574074074074073,0.4114168864426862,0.1111111111111111,0.16393665938191396
68.0,73.0,70.5,10,27,0.3,5.4,0.14097222222222222,0.44590396877615496,0.1,0.23229878425394515
70.0,75.0,72.5,11,35,0.3181818181818182,6.363636363636363,0.12006734006734004,0.4078390008606863,0.0909090909090909,0.15172091556707745
72.0,77.0,74.5,11,42,0.38181818181818183,7.636363636363637,0.11228956228956229,0.40457500586489564,0.09090909090909093,0.2005920915521486
74.0,79.0,76.5,11,37,0.33636363636363636,6.7272727272727275,0.11709235209235208,0.41254582737836326,0.09090909090909091,0.28520380336036993
76.0,81.0,78.5,11,36,0.32727272727272727,6.545454545454546,0.1005892255892256,0.42154854585470053,0.09090909090909093,0.2556949389197093
78.0,83.0,80.5,10,35,0.3888888888888889,7.0,0.12060185185185184,0.43675595168057135,0.1,0.17618490223010824
80.0,85.0,82.5,11,43,0.39090909090909093,7.818181818181818,0.09223905723905723,0.42965741948995534,0.09090909090909091,0.20659999562244422
82.0,87.0,84.5,11,34,0.3090909090909091,6.181818181818182,0.11355218855218854,0.43676100852775673,0.09090909090909091,0.2382174310145138
84.0,89.0,86.5,10,39,0.43333333333333335,7.8,0.09456018518518518,0.5201236263736264,0.1,0.2276312868910284
86.0,91.0,88.5,10,31,0.34444444444444444,6.2,0.11562499999999998,0.43654909332153913,0.1,0.17780546791022261
88.0,93.0,90.5,9,26,0.3611111111111111,5.777777777777778,0.15013227513227512,0.42723735311566785,0.1111111111111111,0.20330060220245988
90.0,95.0,92.5,8,21,0.375,5.25,0.14434523809523808,0.3019356684981685,0.125,0.21852073306026973
92.0,97.0,94.5,8,15,0.26785714285714285,3.75,0.12648809523809523,0.25918367346938775,0.12499999999999999,0.2957040982050637
94.0,99.0,96.5,5,5,0.25,2.0,0.16666666666666666,0.27403846153846156,0.20000000000000004,0.0
