match_id,estilo_tactico,static_density,static_avg_clustering,static_avg_betweenness,static_avg_pagerank,static_avg_closeness,total_passes,pass_accuracy,resultado,goles_equipo,goles_rival,xg_equipo,xg_rival,contexto,rival
303504,posesion_alta,0.7472527472527473,0.1683011046312121,0.0744429181929181,0.0714285714285714,0.3469538282097515,684,0.8961988304093568,derrota,1,3,2.139044643,0.8460165719999999,visitante,Levante UD
303451,posesion_alta,0.7472527472527473,0.1389514643968923,0.0870840964590964,0.0714285714285714,0.4034489778811755,729,0.9245541838134432,victoria,5,2,3.2707426255,1.050319794,local,Mallorca
303664,posesion_moderada,0.7142857142857143,0.2225529195711051,0.0810096153846153,0.0714285714285714,0.4213505554607771,523,0.8814531548757171,empate,2,2,1.91304468,2.7875779040000004,visitante,Real Sociedad
303682,posesion_alta,0.7087912087912088,0.1585247376903117,0.0818376068376068,0.0714285714285714,0.3777983060878134,763,0.9239842726081258,victoria,2,1,2.9258208420000007,1.4201925580000003,local,Levante UD
303400,posesion_alta,0.6758241758241759,0.1343259084588776,0.0968504709576138,0.0714285714285714,0.3216074246415573,838,0.9713603818615753,derrota,0,2,1.165431627,1.282769674,visitante,Valencia
303634,posesion_alta,0.6791666666666667,0.0983705126087261,0.0653968253968254,0.0624999999999999,0.383903655553525,843,0.9169632265717677,derrota,1,2,1.0125385056,0.4741186025,local,Osasuna
303421,posesion_alta,0.7307692307692307,0.1332450281333507,0.0863040729112157,0.0714285714285714,0.3803140411182837,780,0.9282051282051282,victoria,5,0,2.913145846,0.406357612,visitante,Deportivo Alavés
303493,posesion_alta,0.7095238095238096,0.1253327395508165,0.070739577882435,0.0666666666666666,0.3757856479060243,815,0.8773006134969326,victoria,1,0,1.675432889,0.688305282,local,Athletic Club
303680,posesion_alta,0.7047619047619048,0.090537300384303,0.0657099249956393,0.0666666666666666,0.4257507642836706,733,0.9058663028649386,victoria,1,0,1.226690606,0.767382524,visitante,Real Valladolid
303479,equilibrado,0.6483516483516484,0.1912140725992406,0.0918650793650793,0.0714285714285714,0.3971825449731593,553,0.8444846292947559,victoria,1,0,1.934650179,0.658936379,local,Real Sociedad
303615,posesion_alta,0.5666666666666667,0.1291463411793723,0.0932201559124636,0.0666666666666666,0.3198580501372295,842,0.9133016627078384,victoria,1,0,1.155459763,0.7635460445,local,Espanyol
303696,posesion_alta,0.6813186813186813,0.1850925076144647,0.0833485958485958,0.0714285714285714,0.2902207770017049,764,0.9568062827225132,empate,2,2,1.4776562649999998,1.9883945813,local,Atlético Madrid
303487,posesion_alta,0.7307692307692307,0.2182970714297454,0.074955302633874,0.0714285714285714,0.3193987728102156,702,0.9031339031339032,victoria,4,1,1.558700034,0.2677782554999999,local,Celta Vigo
303600,posesion_alta,0.7307692307692307,0.2159387757534729,0.0769939386010814,0.0714285714285714,0.3380509705996397,660,0.8712121212121212,victoria,5,1,2.382540813,0.5268658740000001,local,Real Valladolid
303548,posesion_alta,0.6291666666666667,0.1041661017990944,0.0677781320861678,0.0625,0.4463047376908445,700,0.9457142857142856,victoria,4,0,2.068523223,0.771835227,visitante,Mallorca
303652,posesion_alta,0.7884615384615384,0.1745675758622141,0.0912004662004661,0.0769230769230769,0.3759169615209038,728,0.9244505494505496,empate,2,2,1.4762220425,0.420332712,visitante,Espanyol
303674,posesion_alta,0.7362637362637363,0.1827342111654447,0.0760836385836385,0.0714285714285714,0.3051444070126729,752,0.8776595744680851,empate,0,0,0.5060273670000001,0.523757683,visitante,Sevilla
303470,posesion_alta,0.6428571428571429,0.2319499959364322,0.1060363247863247,0.0714285714285714,0.3604533757841972,666,0.9069069069069068,derrota,0,2,1.069344716,0.8652740299999999,visitante,Real Madrid
303700,posesion_moderada,0.7252747252747253,0.1301300372479624,0.0780296092796093,0.0714285714285714,0.3899066183884451,606,0.8729372937293729,victoria,3,0,1.4085941777,0.327932219,visitante,Eibar
303707,posesion_alta,0.7472527472527473,0.148170597056727,0.0652701465201465,0.0714285714285714,0.3503058180335225,682,0.9824046920821116,victoria,3,2,1.4341765,1.0949722132,visitante,Real Betis
303666,posesion_alta,0.7362637362637363,0.1386315798148347,0.0754502442002441,0.0714285714285714,0.3703796428638886,675,0.9037037037037036,derrota,0,2,0.5349524370000001,1.8489029273,visitante,Granada
303715,posesion_alta,0.7582417582417582,0.2134577133006765,0.0798229548229548,0.0714285714285714,0.3144583660061211,779,0.8793324775353016,victoria,2,1,1.598676625,0.351292322,visitante,Leganés
303377,posesion_alta,0.7142857142857143,0.2093575785891518,0.0954288766788766,0.0714285714285714,0.394729513669267,705,0.8794326241134752,victoria,2,1,1.6572169519999995,0.748722662,local,Getafe
303524,posesion_alta,0.7307692307692307,0.2127388709503868,0.0716783216783216,0.0769230769230769,0.3203583714572726,705,0.8992907801418439,victoria,1,0,0.931063791,1.214963699,visitante,Atlético Madrid
303517,posesion_alta,0.6703296703296703,0.1660499560249599,0.0875992063492063,0.0714285714285714,0.3363347165925863,796,0.9057788944723618,victoria,4,1,1.5926148169999998,0.545430767,local,Deportivo Alavés
303610,posesion_alta,0.7362637362637363,0.1557827611497719,0.0960600907029478,0.0714285714285714,0.3423710314208667,1019,0.9254170755642788,victoria,1,0,1.540731121,0.218909804,local,Granada
303473,posesion_alta,0.6978021978021978,0.2037005406880791,0.0874160561660561,0.0714285714285714,0.3931760466401929,581,0.9173838209982788,victoria,4,0,1.4673041635,1.7253259230000002,local,Sevilla
15978,posesion_alta,0.7857142857142857,0.193194955404585,0.0728283621140764,0.0714285714285714,0.4016935408954201,728,0.9354395604395604,victoria,2,1,1.398165227,0.914412035,visitante,Real Sociedad
15998,posesion_alta,0.6868131868131868,0.1131193017102803,0.0826923076923077,0.0714285714285714,0.3302751347904703,814,0.9312039312039312,derrota,1,2,0.552077237,1.070911462,visitante,Leganés
16029,equilibrado,0.6648351648351648,0.1284238352327124,0.0775401186115471,0.0714285714285714,0.3408781546173379,502,0.8924302788844621,victoria,4,2,2.3974202783,1.688973094,local,Sevilla
16073,posesion_alta,0.6868131868131868,0.1788383954386897,0.0940094627594627,0.0714285714285714,0.3147255147476437,746,0.9115281501340484,empate,1,1,0.296478192,0.141969905,visitante,Atlético Madrid
16086,posesion_moderada,0.7087912087912088,0.1398029791136963,0.0829724838653409,0.0714285714285714,0.3854784872146642,603,0.8872305140961857,victoria,4,0,2.313218727,1.224688889,visitante,Espanyol
16190,posesion_moderada,0.6923076923076923,0.188664924780948,0.0863476800976801,0.0714285714285714,0.4383052823134899,579,0.8773747841105354,victoria,4,2,1.6004439970000002,1.122434296,visitante,Sevilla
16109,posesion_alta,0.6868131868131868,0.1575520537077781,0.0824884440955869,0.0714285714285714,0.3992899821150817,544,0.9264705882352942,victoria,2,0,1.134397363,0.899607741,local,Celta Vigo
16120,posesion_alta,0.6868131868131868,0.1601450097282005,0.0935096153846153,0.0714285714285714,0.3937669873515063,750,0.924,victoria,2,1,1.7478493249999998,1.5908359879999998,visitante,Getafe
16182,posesion_alta,0.7087912087912088,0.2144404586691145,0.071504884004884,0.0714285714285714,0.3878406528312395,729,0.9080932784636488,victoria,1,0,3.661527874,0.443537898,local,Real Valladolid
16215,posesion_moderada,0.6923076923076923,0.2161655371606836,0.0781222745508459,0.0714285714285714,0.3643599216841605,480,0.8833333333333333,victoria,4,1,2.050660124,1.007864181,visitante,Real Betis
16173,posesion_alta,0.7884615384615384,0.2083372708215543,0.0953282828282828,0.0769230769230769,0.3738689378830043,695,0.9136690647482014,empate,0,0,0.494705334,1.35796548,visitante,Athletic Club
16265,equilibrado,0.6758241758241759,0.2284835532956944,0.0814255189255189,0.0714285714285714,0.3985219609279399,559,0.8372093023255814,victoria,2,1,1.245622556,0.8769487859999999,local,Real Sociedad
15946,posesion_alta,0.7472527472527473,0.1434552635078818,0.0800954997383568,0.0714285714285714,0.4050529860257487,866,0.9468822170900691,victoria,3,0,2.6599242,0.292109614,local,Deportivo Alavés
16157,posesion_alta,0.7802197802197802,0.1785418928241655,0.0846916971916971,0.0714285714285714,0.3934152985874761,802,0.899002493765586,empate,2,2,1.6903835109999998,2.441872339,local,Valencia
16136,posesion_alta,0.7527472527472527,0.1426812078038598,0.0861645299145299,0.0714285714285714,0.3630217749414127,792,0.9128787878787878,victoria,3,1,1.74555982,0.6695991617,local,Leganés
16248,posesion_alta,0.6923076923076923,0.1085793906091938,0.0843559218559218,0.0714285714285714,0.3288693652354625,756,0.9074074074074074,victoria,2,0,1.924682267,0.5219108577,local,Atlético Madrid
16056,posesion_moderada,0.6813186813186813,0.1932263498734135,0.0760416666666666,0.0714285714285714,0.3716974326387445,488,0.9262295081967212,derrota,3,4,4.172701369,2.021583876,local,Real Betis
16289,equilibrado,0.6703296703296703,0.1759848908766634,0.0791252398395255,0.0714285714285714,0.3594809000519799,623,0.9004815409309791,victoria,1,0,1.7492327289999998,0.7343230099999999,local,Levante UD
