50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,pass_success,pass_distance,half
,,,,,,,,,,,,,,,,,1.402129,,,,,,,,,,,,,6b32758b-8696-4f41-a0e5-e8328427d904,81,,"[49.8, 24.8]",3773386,1,,,,,-0.924124,,Right Foot,,,,"[61.2, 9.7]",Ground Pass,,18.920095,,,,Antoine Griezmann,5487.0,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Left Defensive Midfield,2,Barcelona,217,['8114eed8-94a3-4ef3-924e-63f3b726ee95'],7,,,,,,,,,,,,,,,,,,Barcelona,217,67,Pass,,1,18.92009513718153,1H
,,,,,,,,,,,,,,,,,0.964685,,,,,,,,,,,,,406c0778-a341-45ed-be56-e7552032cb8c,84,,"[70.0, 8.8]",3773386,1,,,,,-0.31771833,,Left Foot,,,,"[84.9, 3.9]",Ground Pass,,15.685024,,,,Anssumane Fati,30756.0,,,,,,1,From Kick Off,Antoine Griezmann,5487.0,Center Forward,2,Barcelona,217,['36cce6d4-ba62-4029-aba9-4d3001f30255'],9,,,,,,,,,,,,,,,,,,Barcelona,217,69,Pass,,1,15.685024705112841,1H
,,,,,,,,,,,,,,,,,1.163397,,,,,,,,,,,,,4e35f9fd-826d-4612-b693-00abafa73c6b,87,,"[85.7, 4.8]",3773386,1,,,,,2.407941,,Right Foot,,,,"[72.5, 16.7]",Ground Pass,,17.77217,,,,Frenkie de Jong,8118.0,,,,,,1,From Kick Off,Anssumane Fati,30756.0,Left Wing,2,Barcelona,217,['39754943-ca70-496e-99d9-50add677ff1c'],13,,,,,,,,,,,,,,,,,,Barcelona,217,73,Pass,,1,17.77216925420192,1H
,,,,,,,,,,,,,,,,,1.720417,,,,,,,,,,,,,08bb067a-0d93-4689-bbb7-08adc4da4c59,91,,"[69.0, 19.9]",3773386,1,,,,,1.9963392,,Right Foot,,,,"[56.4, 47.7]",Ground Pass,,30.522123,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Left Defensive Midfield,2,Barcelona,217,"['0a22bbcf-03e7-49db-b321-60e9cf120c66', 'df4c677c-5037-480e-a468-ee4986fb95ab']",16,,,,,,,,,,,,,,,,,,Barcelona,217,76,Pass,True,1,30.522123124055447,1H
,,,,,,,,,,,,,,,,,1.470001,,,,,,,,,,,,,8e2df81b-5223-42fe-a675-3c621c68e10b,94,,"[67.5, 53.7]",3773386,1,,,,,1.1018764,,Right Foot,,,,"[79.0, 76.4]",Ground Pass,,25.446808,,,,Ousmane Dembélé,5477.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['490c48ec-801a-4e02-b486-a5d29e077d74'],20,,,,,,,,,,,,,,,,,,Barcelona,217,80,Pass,,1,25.446807265352565,1H
,,,,,,,,,,,,,,,,,0.97871,,,,,,,,,,,,,b7881f2e-a0df-4167-bf10-4cd1680e599e,97,,"[79.1, 76.6]",3773386,1,,,,,-1.7632561,,Left Foot,,,,"[75.3, 57.1]",Ground Pass,,19.866806,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Ousmane Dembélé,5477.0,Right Wing,2,Barcelona,217,['4e8931fb-65e0-400b-976d-ed31c10176cc'],24,,,,,,,,,,,,,,,,,,Barcelona,217,84,Pass,,1,19.866806487203718,1H
,,,,,,,,,,,,,,,,,0.910908,,,,,,,,,,,,,2527ad30-3ebe-47f9-b873-4483db8e1162,100,,"[75.3, 57.5]",3773386,1,,,,,0.22104706,,Right Foot,,,,"[84.2, 59.5]",Ground Pass,,9.121951,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,2,Barcelona,217,['19747d1e-6227-48cf-bc8e-745a3f24e976'],28,,,,,,,,,,,,,,,,,,Barcelona,217,88,Pass,,1,9.121951545584974,1H
,,,,,,,,,,,,,,,,,2.287611,,,,,,,,,,,,,a3f12a2c-b797-4a57-8bb8-ca25146771fe,107,,"[79.7, 59.7]",3773386,1,,,,,3.059585,,Left Foot,,,,"[65.1, 60.9]",Ground Pass,,14.649232,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Attacking Midfield,2,Barcelona,217,"['4aefe182-b37e-42b0-85c0-d385a59864a2', 'c2629ff5-4a59-41c8-81a3-cdb1dc956954']",31,,,,,,,,,,,,,,,,,,Barcelona,217,91,Pass,True,1,14.649232061783998,1H
,,,,,,,,,,,,,,,,,2.107123,,,,,,,,,,,,,db8a32c8-5ab1-4769-bb76-7cf07d087360,110,,"[63.0, 60.0]",3773386,1,,,,,-2.1518786,,Right Foot,,,,"[54.2, 46.6]",Ground Pass,,16.03122,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,2,Barcelona,217,['2cf8ac46-7ab5-45c3-bb01-d8bc213dfe58'],36,,,,,,,,,,,,,,,,,,Barcelona,217,96,Pass,,1,16.031219541881395,1H
,,,,,,,,,,,,,,,,,1.472442,,,,,,,,,,,,,0ba58bde-0424-4446-b0ff-9a7810466e3d,113,,"[55.7, 47.4]",3773386,1,,,,,-1.5042281,,Right Foot,,,,"[57.0, 27.9]",Ground Pass,,19.543285,,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['2ca8249d-c8ad-4ae3-b06e-7e1baee73b36'],39,,,,,,,,,,,,,,,,,,Barcelona,217,99,Pass,,1,19.543285291884782,1H
,,,,,,,,,,,,,,,,,0.790703,,,,,,,,,,,,,82d675b6-990a-4e91-95ac-42e34ed941bd,116,,"[58.8, 28.3]",3773386,1,,,,,0.05212665,,Left Foot,,,,"[70.3, 28.9]",Ground Pass,,11.515641,,,,Antoine Griezmann,5487.0,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,['d6cf0bd8-a989-4ec5-8594-96b48ce055b5'],42,,,,,,,,,,,,,,,,,,Barcelona,217,102,Pass,,1,11.515641536623132,1H
,,,,,,,,,,,,,,,,,0.633795,,,,,,,,,,,,,bb73d956-5dd0-4928-82f9-e9f481299532,118,,"[70.3, 28.9]",3773386,1,,,,,-0.75599486,,Left Foot,,,,"[77.3, 22.3]",Ground Pass,,9.6208105,,,,Frenkie de Jong,8118.0,,,,,,1,From Kick Off,Antoine Griezmann,5487.0,Center Forward,2,Barcelona,217,['3f66a22f-7501-4a45-9088-da2831f05a8b'],42,,,,,,,,,,,,,,,,,,Barcelona,217,102,Pass,,1,9.620810776644554,1H
,,,,,,,,,,,,,,,,,0.373995,,,,,,,,,,,,,1568c8be-f149-4bb6-a30e-6f27c5cc1d89,121,,"[76.9, 22.3]",3773386,1,,,,,3.0118902,,Right Foot,,,,"[72.3, 22.9]",Ground Pass,,4.6389656,,Incomplete,,Antoine Griezmann,5487.0,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Left Defensive Midfield,2,Barcelona,217,"['7fed4f6d-ca0c-405c-bff2-97be82dbd042', 'd6291835-e6f7-4dff-a5b4-fdc6def130fd', 'f6d6f1e5-828c-416a-9d9b-468236873a38']",43,,,,,,,,,,,,,,,,,,Barcelona,217,103,Pass,True,0,4.638965401897289,1H
,,,,,,,,,,,,,,,,,0.807,,,,,,,,,,,,,11595aea-f7f3-4954-b46a-649783043289,125,,"[51.2, 63.0]",3773386,1,,,,,-0.8721365,,Right Foot,,,,"[61.7, 50.5]",Low Pass,,16.324827,,,,Deyverson Brum Silva Acosta,25134.0,,,,,Recovery,1,Regular Play,Edgar Antonio Méndez Ortega,26387.0,Right Midfield,3,Deportivo Alavés,206,"['1281279e-4f9a-4395-b4a2-e988ea37de1b', '49e0dc1f-45c6-42ac-b1ff-09792b88a810']",45,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,105,Pass,True,1,16.32482771731451,1H
